UF,Código do Município,Município,Dezembro/2023 - sem ajuste Admissões,Dezembro/2023 - sem ajuste Desligamentos,Dezembro/2023 - sem ajuste Saldos,Dezembro/2023 - sem ajuste Variação Relativa (%),Acumulado do Ano (2023) Admissões,Acumulado do Ano (2023) Desligamentos,Acumulado do Ano (2023) Saldos,Acumulado do Ano (2023) Variação Relativa (%)
RS,431840.0,Rs-Sao Jeronimo,64.0,109.0,-45.0,-1.4231499051233396,1195.0,1149.0,46.0,1.5037593984962405
RS,431842.0,Rs-Sao Joao da Urtiga,6.0,8.0,-2.0,-0.45045045045045046,142.0,118.0,24.0,5.714285714285714
RS,431843.0,Rs-Sao Joao do Polesine,10.0,21.0,-11.0,-2.0599250936329585,203.0,202.0,1.0,0.1926782273603083
RS,431844.0,Rs-Sao Jorge,8.0,18.0,-10.0,-2.865329512893983,161.0,160.0,1.0,0.2967359050445104
RS,431845.0,Rs-Sao Jose das Missoes,1.0,2.0,-1.0,-0.9803921568627451,58.0,68.0,-10.0,-9.25925925925926
RS,431846.0,Rs-Sao Jose do Herval,10.0,11.0,-1.0,-0.34965034965034963,165.0,113.0,52.0,22.033898305084744
RS,431848.0,Rs-Sao Jose do Hortencio,6.0,26.0,-20.0,-2.372479240806643,447.0,410.0,37.0,4.817708333333334
RS,431849.0,Rs-Sao Jose do Inhacora,12.0,35.0,-23.0,-3.1335149863760217,256.0,243.0,13.0,1.870503597122302
RS,431850.0,Rs-Sao Jose do Norte,108.0,958.0,-850.0,-13.35428122545169,4980.0,5005.0,-25.0,-0.4453946196329948
RS,431860.0,Rs-Sao Jose do Ouro,33.0,45.0,-12.0,-0.9153318077803204,551.0,526.0,25.0,1.937984496124031
RS,431861.0,Rs-Sao Jose do Sul,9.0,13.0,-4.0,-1.0810810810810811,182.0,146.0,36.0,10.682492581602373
RS,431862.0,Rs-Sao Jose dos Ausentes,25.0,107.0,-82.0,-9.001097694840835,1448.0,1494.0,-46.0,-5.00544069640914
RS,431870.0,Rs-Sao Leopoldo,1410.0,2254.0,-844.0,-1.5581730236679836,26240.0,26433.0,-193.0,-0.3622168421447741
RS,431880.0,Rs-Sao Lourenco do Sul,170.0,154.0,16.0,0.3227758725035304,1761.0,1731.0,30.0,0.6013229104028863
RS,431890.0,Rs-Sao Luiz Gonzaga,164.0,222.0,-58.0,-0.935634779803194,2613.0,2540.0,73.0,1.2062128222075348
RS,431900.0,Rs-Sao Marcos,124.0,282.0,-158.0,-2.134269890584898,3492.0,3149.0,343.0,4.944500504540867
RS,431910.0,Rs-Sao Martinho,42.0,44.0,-2.0,-0.1951219512195122,406.0,385.0,21.0,2.097902097902098
RS,431912.0,Rs-Sao Martinho da Serra,0.0,4.0,-4.0,-2.13903743315508,54.0,69.0,-15.0,-7.6923076923076925
RS,431915.0,Rs-Sao Miguel das Missoes,46.0,37.0,9.0,0.7705479452054794,507.0,424.0,83.0,7.572992700729928
RS,431920.0,Rs-Sao Nicolau,11.0,9.0,2.0,0.5434782608695652,133.0,93.0,40.0,11.396011396011396
RS,431930.0,Rs-Sao Paulo das Missoes,19.0,14.0,5.0,1.0373443983402488,175.0,131.0,44.0,9.821428571428571
RS,431935.0,Rs-Sao Pedro da Serra,14.0,17.0,-3.0,-0.46439628482972134,400.0,344.0,56.0,9.395973154362416
RS,431936.0,Rs-Sao Pedro das Missoes,2.0,1.0,1.0,1.4285714285714286,22.0,22.0,0.0,0
RS,431937.0,Rs-Sao Pedro do Butia,12.0,18.0,-6.0,-0.9630818619582664,268.0,247.0,21.0,3.523489932885906
RS,431940.0,Rs-Sao Pedro do Sul,51.0,46.0,5.0,0.3026634382566586,682.0,640.0,42.0,2.6054590570719602
RS,431950.0,Rs-Sao Sebastiao do Cai,176.0,249.0,-73.0,-1.1174039491810805,3086.0,3091.0,-5.0,-0.07754342431761788
RS,431960.0,Rs-Sao Sepe,82.0,82.0,0.0,0,1104.0,1032.0,72.0,2.4104452628054904
RS,431970.0,Rs-Sao Valentim,6.0,8.0,-2.0,-0.7782101167315175,82.0,86.0,-4.0,-1.5625
RS,431971.0,Rs-Sao Valentim do Sul,9.0,14.0,-5.0,-1.2345679012345678,290.0,282.0,8.0,2.127659574468085
RS,431973.0,Rs-Sao Valerio do Sul,1.0,1.0,0.0,0,24.0,26.0,-2.0,-2.941176470588235
RS,431975.0,Rs-Sao Vendelino,13.0,20.0,-7.0,-1.2704174228675136,257.0,259.0,-2.0,-0.36496350364963503
RS,431980.0,Rs-Sao Vicente do Sul,21.0,23.0,-2.0,-0.21097046413502107,396.0,331.0,65.0,7.2544642857142865
RS,431990.0,Rs-Sapiranga,391.0,958.0,-567.0,-2.5766871165644174,13435.0,13826.0,-391.0,-1.811107508453379
RS,432000.0,Rs-Sapucaia do Sul,705.0,892.0,-187.0,-0.9314604502889021,10772.0,10751.0,21.0,0.10517880396674346
RS,432010.0,Rs-Sarandi,128.0,223.0,-95.0,-1.2995896032831737,2959.0,2877.0,82.0,1.1466927702419243
RS,432020.0,Rs-Seberi,104.0,157.0,-53.0,-1.3730569948186528,2417.0,1656.0,761.0,24.603944390559327
RS,432023.0,Rs-Sede Nova,6.0,10.0,-4.0,-2.072538860103627,93.0,92.0,1.0,0.5208333333333333
RS,432026.0,Rs-Segredo,5.0,4.0,1.0,0.3861003861003861,155.0,108.0,47.0,21.363636363636363
RS,432030.0,Rs-Selbach,8.0,32.0,-24.0,-2.6460859977949283,288.0,350.0,-62.0,-6.68103448275862
RS,432032.0,Rs-Senador Salgado Filho,3.0,5.0,-2.0,-0.9569377990430622,79.0,63.0,16.0,8.040201005025125
RS,432035.0,Rs-Sentinela do Sul,8.0,14.0,-6.0,-1.3043478260869565,206.0,142.0,64.0,15.96009975062344
RS,432040.0,Rs-Serafina Correa,166.0,225.0,-59.0,-0.9526885192959793,3049.0,2963.0,86.0,1.4429530201342282
RS,432045.0,Rs-Serio,7.0,7.0,0.0,0,73.0,51.0,22.0,16.417910447761194
RS,432050.0,Rs-Sertao,14.0,27.0,-13.0,-2.529182879377432,230.0,236.0,-6.0,-1.185770750988142
RS,432055.0,Rs-Sertao Santana,12.0,10.0,2.0,0.3284072249589491,208.0,163.0,45.0,8.064516129032258
RS,432057.0,Rs-Sete de Setembro,0.0,3.0,-3.0,-4.285714285714286,27.0,22.0,5.0,7.936507936507936
RS,432060.0,Rs-Severiano de Almeida,9.0,8.0,1.0,0.2777777777777778,124.0,149.0,-25.0,-6.544502617801047
RS,432065.0,Rs-Silveira Martins,4.0,11.0,-7.0,-3.0303030303030303,100.0,99.0,1.0,0.4484304932735426
RS,432067.0,Rs-Sinimbu,11.0,20.0,-9.0,-1.2693935119887165,462.0,417.0,45.0,6.923076923076923
RS,432070.0,Rs-Sobradinho,53.0,127.0,-74.0,-2.948207171314741,1348.0,1326.0,22.0,0.9155222638368706
